collision,e_lab,b_max_factor,order,s_n
Si-Au,5000000,30,50,1.6828986115933263e-14
Si-Au,5000000,30,100,1.5987810630990994e-14
Si-Au,5000000,30,200,1.601231738104251e-14
Si-Au,5000000,30,300,1.601233597493772e-14
Si-Au,5000000,30,400,1.6009622610065014e-14
Si-Au,5000000,30,500,1.6011218978734952e-14
H-Si,10,35,50,2.1658665640041206e-16
H-Si,10,35,100,2.1659022812758258e-16
H-Si,10,35,200,2.1657028367113717e-16
H-Si,10,35,300,2.1658111273159663e-16
H-Si,10,35,400,2.1657330990989986e-16
H-Si,10,35,500,2.1657924448006754e-16
H-Si,5000000,35,50,9.206495367226922e-19
H-Si,5000000,35,100,1.1725775571969895e-18
H-Si,5000000,35,200,1.4212088720289866e-18
H-Si,5000000,35,300,1.5510876526492826e-18
H-Si,5000000,35,400,1.6131754698193393e-18
H-Si,5000000,35,500,1.6256867978290036e-18
Si-Au,10,35,50,2.581009998436619e-15
Si-Au,10,35,100,2.5810605063399214e-15
Si-Au,10,35,200,2.5809116895557207e-15
Si-Au,10,35,300,2.580990658941987e-15
Si-Au,10,35,400,2.580932724505728e-15
Si-Au,10,35,500,2.58097657899161e-15
Si-Au,5000000,35,50,1.706882324648245e-14
Si-Au,5000000,35,100,1.596543024787982e-14
Si-Au,5000000,35,200,1.6012248527681285e-14
Si-Au,5000000,35,300,1.601233338129332e-14
Si-Au,5000000,35,400,1.6008640345434496e-14
Si-Au,5000000,35,500,1.601082034752197e-14
H-Si,10,40,50,2.1657959163437214e-16
H-Si,10,40,100,2.1658430279232528e-16
H-Si,10,40,200,2.1658786123424763e-16
H-Si,10,40,300,2.1657236782112593e-16
H-Si,10,40,400,2.1657826180809484e-16
H-Si,10,40,500,2.1656990834123504e-16
H-Si,5000000,40,50,8.961805476542483e-19
H-Si,5000000,40,100,1.1481810987576581e-18
H-Si,5000000,40,200,1.3978536093472894e-18
H-Si,5000000,40,300,1.5318535680239647e-18
H-Si,5000000,40,400,1.6025960559878702e-18
H-Si,5000000,40,500,1.625835588564314e-18
Si-Au,10,40,50,2.5818298707782425e-15
Si-Au,10,40,100,2.5818950470607e-15
Si-Au,10,40,200,2.581933615289833e-15
Si-Au,10,40,300,2.581804034526898e-15
Si-Au,10,40,400,2.581850753172261e-15
Si-Au,10,40,500,2.5818775095769238e-15
Si-Au,5000000,40,50,1.7239278254315978e-14
Si-Au,5000000,40,100,1.5947354010732422e-14
Si-Au,5000000,40,200,1.6012191255046666e-14
Si-Au,5000000,40,300,1.601233015007109e-14
Si-Au,5000000,40,400,1.601233107075832e-14
Si-Au,5000000,40,500,1.6010356370901255e-14
H-Si,10,45,50,2.1657157110943763e-16
H-Si,10,45,100,2.1657748815919965e-16
H-Si,10,45,200,2.1658202587406401e-16
H-Si,10,45,300,2.1658372135038884e-16
H-Si,10,45,400,2.165698808171183e-16
H-Si,10,45,500,2.1657394364224936e-16
H-Si,5000000,45,50,8.745946535474362e-19
H-Si,5000000,45,100,1.126646430162456e-18
H-Si,5000000,45,200,1.377035018305651e-18
H-Si,5000000,45,300,1.5139283362242709e-18
H-Si,5000000,45,400,1.5910729256298462e-18
H-Si,5000000,45,500,1.6231761869150133e-18
Si-Au,10,45,50,2.5818227536741486e-15
Si-Au,10,45,100,2.5819072657904535e-15
Si-Au,10,45,200,2.5819564597351444e-15
Si-Au,10,45,300,2.5819727577886043e-15
Si-Au,10,45,400,2.5819812847346433e-15
Si-Au,10,45,500,2.5819861452394038e-15
Si-Au,5000000,45,50,1.7343661639573257e-14
Si-Au,5000000,45,100,1.5939314009643266e-14
Si-Au,5000000,45,200,1.601228520540893e-14
Si-Au,5000000,45,300,1.6012336112261617e-14
Si-Au,5000000,45,400,1.6012331575076264e-14
Si-Au,5000000,45,500,1.6009832048322206e-14
H-Si,10,50,50,2.1656259342136214e-16
H-Si,10,50,100,2.1656987918996307e-16
H-Si,10,50,200,2.165755097688574e-16
H-Si,10,50,300,2.1657757590312667e-16
H-Si,10,50,400,2.1657866352188914e-16
H-Si,10,50,500,2.1657932306587777e-16
H-Si,5000000,50,50,8.55283140914292e-19
H-Si,5000000,50,100,1.107375692643401e-18
H-Si,5000000,50,200,1.3582782579522354e-18
H-Si,5000000,50,300,1.4972738979321152e-18
H-Si,5000000,50,400,1.5792517128727153e-18
H-Si,5000000,50,500,1.6185980760913025e-18
Si-Au,10,50,50,2.5816914410877186e-15
Si-Au,10,50,100,2.5817954366489294e-15
Si-Au,10,50,200,2.5821073962185808e-15
Si-Au,10,50,300,2.582049455517847e-15
Si-Au,10,50,400,2.582018875417318e-15
Si-Au,10,50,500,2.5819996764749437e-15
Si-Au,5000000,50,50,1.7391478253417e-14
Si-Au,5000000,50,100,1.5944495450950716e-14
Si-Au,5000000,50,200,1.601262521835836e-14
Si-Au,5000000,50,300,1.6012336619853273e-14
Si-Au,5000000,50,400,1.6012331681628145e-14
Si-Au,5000000,50,500,1.6009244293516485e-14
